element_index,conductivity,sensitivity,is_high
517,1000.0,0.0,0
518,500.0,0.0,1
519,500.0,0.0,1
520,1000.0,0.0,0
521,1000.0,0.0,0
522,500.0,0.0,1
523,1000.0,0.0,0
524,1000.0,0.0,0
525,1000.0,0.0,0
526,500.0,0.0,1
527,1000.0,0.0,0
528,500.0,0.0,1
529,1000.0,0.0,0
530,1000.0,0.0,0
531,1000.0,0.0,0
532,1000.0,0.0,0
533,500.0,0.0,1
534,500.0,0.0,1
535,500.0,0.0,1
536,1000.0,0.0,0
537,1000.0,0.0,0
538,500.0,0.0,1
539,1000.0,0.0,0
540,500.0,0.0,1
541,1000.0,0.0,0
542,500.0,0.0,1
543,1000.0,0.0,0
544,1000.0,0.0,0
545,500.0,0.0,1
546,1000.0,0.0,0
547,1000.0,0.0,0
548,500.0,0.0,1
549,1000.0,0.0,0
550,1000.0,0.0,0
551,500.0,0.0,1
552,1000.0,0.0,0
553,500.0,0.0,1
554,500.0,0.0,1
555,500.0,0.0,1
556,500.0,0.0,1
557,1000.0,0.0,0
558,1000.0,0.0,0
559,500.0,0.0,1
560,1000.0,0.0,0
561,1000.0,0.0,0
562,500.0,0.0,1
563,500.0,0.0,1
564,500.0,0.0,1
565,500.0,0.0,1
566,500.0,0.0,1
567,500.0,0.0,1
568,500.0,0.0,1
569,500.0,0.0,1
570,1000.0,0.0,0
571,1000.0,0.0,0
572,1000.0,0.0,0
573,1000.0,0.0,0
574,500.0,0.0,1
575,500.0,0.0,1
576,1000.0,0.0,0
577,500.0,0.0,1
578,1000.0,0.0,0
579,1000.0,0.0,0
580,1000.0,0.0,0
581,1000.0,0.0,0
582,500.0,0.0,1
583,1000.0,0.0,0
584,1000.0,0.0,0
585,1000.0,0.0,0
586,500.0,0.0,1
587,1000.0,0.0,0
588,1000.0,0.0,0
589,1000.0,0.0,0
590,500.0,0.0,1
591,1000.0,0.0,0
592,500.0,0.0,1
593,1000.0,0.0,0
594,1000.0,0.0,0
595,1000.0,0.0,0
596,1000.0,0.0,0
597,1000.0,0.0,0
598,500.0,0.0,1
599,1000.0,0.0,0
600,1000.0,0.0,0
601,1000.0,0.0,0
602,1000.0,0.0,0
603,500.0,0.0,1
604,1000.0,0.0,0
605,1000.0,0.0,0
606,500.0,0.0,1
607,500.0,0.0,1
608,1000.0,0.0,0
609,500.0,0.0,1
610,1000.0,0.0,0
611,1000.0,0.0,0
612,500.0,0.0,1
613,1000.0,0.0,0
614,500.0,0.0,1
615,500.0,0.0,1
616,1000.0,0.0,0
617,500.0,0.0,1
618,500.0,0.0,1
619,500.0,0.0,1
620,500.0,0.0,1
621,1000.0,0.0,0
622,500.0,0.0,1
623,500.0,0.0,1
624,500.0,0.0,1
625,1000.0,0.0,0
626,1000.0,0.0,0
627,500.0,0.0,1
628,1000.0,0.0,0
629,500.0,0.0,1
630,500.0,0.0,1
631,1000.0,0.0,0
632,500.0,0.0,1
633,500.0,0.0,1
634,1000.0,0.0,0
635,1000.0,0.0,0
636,500.0,0.0,1
637,500.0,0.0,1
638,500.0,0.0,1
639,1000.0,0.0,0
640,500.0,0.0,1
641,1000.0,0.0,0
642,500.0,0.0,1
643,500.0,0.0,1
644,1000.0,0.0,0
645,500.0,0.0,1
646,1000.0,0.0,0
647,1000.0,0.0,0
648,1000.0,0.0,0
649,1000.0,0.0,0
650,1000.0,0.0,0
651,1000.0,0.0,0
652,1000.0,0.0,0
653,500.0,0.0,1
654,1000.0,0.0,0
655,1000.0,0.0,0
656,1000.0,0.0,0
657,500.0,0.0,1
658,1000.0,0.0,0
659,500.0,0.0,1
660,1000.0,0.0,0
661,500.0,0.0,1
662,1000.0,0.0,0
663,500.0,0.0,1
664,1000.0,0.0,0
665,1000.0,0.0,0
666,1000.0,0.0,0
667,500.0,0.0,1
668,500.0,0.0,1
669,1000.0,0.0,0
670,1000.0,0.0,0
671,1000.0,0.0,0
672,500.0,0.0,1
673,500.0,0.0,1
674,500.0,0.0,1
675,1000.0,0.0,0
676,1000.0,0.0,0
677,1000.0,0.0,0
678,500.0,0.0,1
679,1000.0,0.0,0
680,1000.0,0.0,0
681,1000.0,0.0,0
682,500.0,0.0,1
683,500.0,0.0,1
684,1000.0,0.0,0
685,1000.0,0.0,0
686,500.0,0.0,1
687,500.0,0.0,1
688,1000.0,0.0,0
689,500.0,0.0,1
690,1000.0,0.0,0
691,1000.0,0.0,0
692,1000.0,0.0,0
693,500.0,0.0,1
694,1000.0,0.0,0
695,500.0,0.0,1
696,1000.0,0.0,0
697,500.0,0.0,1
698,1000.0,0.0,0
699,500.0,0.0,1
700,1000.0,0.0,0
701,1000.0,0.0,0
702,500.0,0.0,1
703,500.0,0.0,1
704,1000.0,0.0,0
705,500.0,0.0,1
706,500.0,0.0,1
707,500.0,0.0,1
708,500.0,0.0,1
709,1000.0,0.0,0
710,500.0,0.0,1
711,500.0,0.0,1
712,1000.0,0.0,0
713,500.0,0.0,1
714,1000.0,0.0,0
715,1000.0,0.0,0
716,1000.0,0.0,0
717,1000.0,0.0,0
718,500.0,0.0,1
719,1000.0,0.0,0
720,500.0,0.0,1
721,1000.0,0.0,0
722,500.0,0.0,1
723,1000.0,0.0,0
724,500.0,0.0,1
725,500.0,0.0,1
726,1000.0,0.0,0
727,1000.0,0.0,0
728,1000.0,0.0,0
729,500.0,0.0,1
730,1000.0,0.0,0
731,500.0,0.0,1
732,500.0,0.0,1
733,500.0,0.0,1
734,500.0,0.0,1
735,1000.0,0.0,0
736,500.0,0.0,1
737,1000.0,0.0,0
738,500.0,0.0,1
739,1000.0,0.0,0
740,500.0,0.0,1
741,1000.0,0.0,0
742,1000.0,0.0,0
743,1000.0,0.0,0
744,1000.0,0.0,0
745,500.0,0.0,1
746,500.0,0.0,1
747,1000.0,0.0,0
748,500.0,0.0,1
749,1000.0,0.0,0
750,500.0,0.0,1
751,1000.0,0.0,0
752,1000.0,0.0,0
753,500.0,0.0,1
754,500.0,0.0,1
755,500.0,0.0,1
756,500.0,0.0,1
757,1000.0,0.0,0
758,1000.0,0.0,0
759,1000.0,0.0,0
760,1000.0,0.0,0
761,500.0,0.0,1
762,500.0,0.0,1
763,500.0,0.0,1
764,500.0,0.0,1
765,500.0,0.0,1
766,500.0,0.0,1
767,1000.0,0.0,0
768,500.0,0.0,1
769,1000.0,0.0,0
770,500.0,0.0,1
771,500.0,0.0,1
772,500.0,0.0,1
773,500.0,0.0,1
774,500.0,0.0,1
775,1000.0,0.0,0
776,500.0,0.0,1
777,1000.0,0.0,0
778,1000.0,0.0,0
779,500.0,0.0,1
780,500.0,0.0,1
781,1000.0,0.0,0
782,1000.0,0.0,0
783,500.0,0.0,1
784,1000.0,0.0,0
785,1000.0,0.0,0
786,1000.0,0.0,0
787,500.0,0.0,1
788,1000.0,0.0,0
789,1000.0,0.0,0
790,1000.0,0.0,0
791,500.0,0.0,1
792,1000.0,0.0,0
793,500.0,0.0,1
794,1000.0,0.0,0
795,1000.0,0.0,0
796,1000.0,0.0,0
797,1000.0,0.0,0
798,1000.0,0.0,0
799,500.0,0.0,1
800,500.0,0.0,1
801,1000.0,0.0,0
802,500.0,0.0,1
803,500.0,0.0,1
804,500.0,0.0,1
805,1000.0,0.0,0
806,1000.0,0.0,0
807,500.0,0.0,1
808,1000.0,0.0,0
809,500.0,0.0,1
810,1000.0,0.0,0
811,1000.0,0.0,0
812,1000.0,0.0,0
813,1000.0,0.0,0
814,500.0,0.0,1
815,1000.0,0.0,0
816,500.0,0.0,1
817,1000.0,0.0,0
818,1000.0,0.0,0
819,500.0,0.0,1
820,500.0,0.0,1
821,500.0,0.0,1
822,1000.0,0.0,0
823,1000.0,0.0,0
824,1000.0,0.0,0
825,500.0,0.0,1
826,500.0,0.0,1
827,1000.0,0.0,0
828,1000.0,0.0,0
829,500.0,0.0,1
830,1000.0,0.0,0
831,500.0,0.0,1
832,500.0,0.0,1
833,1000.0,0.0,0
834,1000.0,0.0,0
835,500.0,0.0,1
836,500.0,0.0,1
837,500.0,0.0,1
838,1000.0,0.0,0
839,500.0,0.0,1
840,500.0,0.0,1
841,1000.0,0.0,0
842,500.0,0.0,1
843,500.0,0.0,1
844,1000.0,0.0,0
845,1000.0,0.0,0
846,1000.0,0.0,0
847,1000.0,0.0,0
848,500.0,0.0,1
849,1000.0,0.0,0
850,500.0,0.0,1
851,1000.0,0.0,0
852,500.0,0.0,1
853,1000.0,0.0,0
854,500.0,0.0,1
855,500.0,0.0,1
856,1000.0,0.0,0
857,1000.0,0.0,0
858,1000.0,0.0,0
859,1000.0,0.0,0
860,1000.0,0.0,0
861,500.0,0.0,1
862,500.0,0.0,1
863,500.0,0.0,1
864,1000.0,0.0,0
865,1000.0,0.0,0
866,500.0,0.0,1
867,500.0,0.0,1
868,500.0,0.0,1
869,1000.0,0.0,0
870,500.0,0.0,1
871,500.0,0.0,1
872,500.0,0.0,1
873,500.0,0.0,1
874,1000.0,0.0,0
875,1000.0,0.0,0
876,1000.0,0.0,0
877,1000.0,0.0,0
878,1000.0,0.0,0
879,1000.0,0.0,0
880,500.0,0.0,1
881,500.0,0.0,1
882,1000.0,0.0,0
883,500.0,0.0,1
884,500.0,0.0,1
885,500.0,0.0,1
886,500.0,0.0,1
887,500.0,0.0,1
888,1000.0,0.0,0
889,1000.0,0.0,0
890,500.0,0.0,1
891,500.0,0.0,1
892,1000.0,0.0,0
893,500.0,0.0,1
894,500.0,0.0,1
895,1000.0,0.0,0
896,500.0,0.0,1
897,1000.0,0.0,0
898,1000.0,0.0,0
899,500.0,0.0,1
900,500.0,0.0,1
901,1000.0,0.0,0
902,500.0,0.0,1
903,1000.0,0.0,0
904,1000.0,0.0,0
905,500.0,0.0,1
906,500.0,0.0,1
907,1000.0,0.0,0
908,1000.0,0.0,0
909,1000.0,0.0,0
910,500.0,0.0,1
911,1000.0,0.0,0
912,500.0,0.0,1
913,1000.0,0.0,0
914,500.0,0.0,1
915,1000.0,0.0,0
916,500.0,0.0,1
917,1000.0,0.0,0
918,1000.0,0.0,0
919,1000.0,0.0,0
920,500.0,0.0,1
921,500.0,0.0,1
922,500.0,0.0,1
923,1000.0,0.0,0
924,1000.0,0.0,0
925,500.0,0.0,1
926,500.0,0.0,1
927,500.0,0.0,1
928,500.0,0.0,1
929,1000.0,0.0,0
930,1000.0,0.0,0
931,500.0,0.0,1
932,1000.0,0.0,0
933,1000.0,0.0,0
934,500.0,0.0,1
935,500.0,0.0,1
936,1000.0,0.0,0
937,500.0,0.0,1
938,500.0,0.0,1
939,1000.0,0.0,0
940,1000.0,0.0,0
941,1000.0,0.0,0
942,1000.0,0.0,0
943,500.0,0.0,1
944,1000.0,0.0,0
945,500.0,0.0,1
946,1000.0,0.0,0
947,500.0,0.0,1
948,500.0,0.0,1
949,1000.0,0.0,0
950,500.0,0.0,1
951,1000.0,0.0,0
952,500.0,0.0,1
